Vehicle Type,Pickup Location,Drop Location,Ride Distance
Auto,Kadarpur,Badshahpur,null
Bike,Chirag Delhi,Pataudi Chowk,10.35
Bike,Bhikaji Cama Place,Subhash Nagar,26.5
Auto,Seelampur,Manesar,4.28
Auto,Panipat,Chirag Delhi,16.36
eBike,Mehrauli,Civil Lines Gurgaon,null
Premier Sedan,Arjangarh,Yamuna Bank,13.06
Bike,MG Road,Patel Chowk,37.68
eBike,Lajpat Nagar,Dwarka Sector 21,46.75
Premier Sedan,Mundka,Indirapuram,47.32
Go Sedan,India Gate,DLF City Court,4.09
Go Sedan,Malviya Nagar,Central Secretariat,36.35
Premier Sedan,ITO,Greater Kailash,30.11
Bike,Shastri Park,Akshardham,19.98
Go Sedan,Netaji Subhash Place,Indirapuram,null
Go Sedan,Yamuna Bank,Kalkaji,null
Go Mini,Tilak Nagar,Sushant Lok,30.93
eBike,Chanakyapuri,Karkarduma,null
Go Sedan,Civil Lines Gurgaon,Barakhamba Road,null
Premier Sedan,Lajpat Nagar,Kirti Nagar,null
Go Sedan,Gurgaon Railway Station,Keshav Puram,null
Go Sedan,Rithala,Nawada,47.31
Bike,Badarpur,New Delhi Railway Station,null
Bike,Rajiv Chowk,Anand Vihar ISBT,6.26
Go Sedan,Moolchand,Shastri Park,null
Auto,Udyog Vihar Phase 4,Tughlakabad,7.43
Go Sedan,Botanical Garden,Sultanpur,27
Bike,Patel Chowk,Lajpat Nagar,null
Premier Sedan,Hauz Rani,Faridabad Sector 15,null
Auto,Malviya Nagar,IIT Delhi,33.9
Go Sedan,Subhash Chowk,Vidhan Sabha,14.75
Go Sedan,Rohini East,Udyog Vihar Phase 4,null
Premier Sedan,Pragati Maidan,Faridabad Sector 15,4.41
Go Mini,South Extension,Lal Quila,null
eBike,South Extension,Ashok Vihar,5.86
Auto,Kashmere Gate,Connaught Place,31.71
Bike,Anand Vihar,Keshav Puram,42.75
Go Mini,Adarsh Nagar,Noida Sector 18,null
Bike,Vasant Kunj,Bhikaji Cama Place,32.37
Auto,Kashmere Gate,Khan Market,null
Go Sedan,IGI Airport,Rithala,13.91
Auto,Anand Vihar,Vaishali,48.75
Go Mini,Jhilmil,Noida Film City,27.66
Go Mini,Jor Bagh,Vinobapuri,11.88
Auto,Gwal Pahari,Okhla,null
Premier Sedan,India Gate,Botanical Garden,null
Go Sedan,Ramesh Nagar,Karkarduma,36.94
Go Mini,AIIMS,Yamuna Bank,null
Go Sedan,Arjangarh,Lok Kalyan Marg,null
Go Mini,Saidulajab,Saket A Block,33.37
Go Mini,Sadar Bazar Gurgaon,Azadpur,45.48
Go Mini,Punjabi Bagh,Anand Vihar,45.26
Bike,DLF Phase 3,Ramesh Nagar,15.14
Auto,Nehru Place,Preet Vihar,2.89
Go Mini,Badarpur,Ghaziabad,null
eBike,RK Puram,South Extension,6.24
Go Sedan,Shivaji Park,Ashok Vihar,27.03
Auto,Rajouri Garden,Bhiwadi,null
Go Mini,Karol Bagh,Ghitorni,44.05
Go Mini,New Colony,Rohini East,null
Go Sedan,Nawada,Kashmere Gate ISBT,10.18
Auto,Kanhaiya Nagar,Chirag Delhi,null
Premier Sedan,Sohna Road,Mandi House,null
Go Mini,Arjangarh,Chhatarpur,12.1
Auto,Ghitorni,Saidulajab,null
Auto,Udyog Vihar,Badarpur,null
eBike,Green Park,Chirag Delhi,null
Auto,Rohini East,Meerut,13.46
Go Sedan,Okhla,Shastri Nagar,49.37
Premier Sedan,Dwarka Sector 21,Govindpuri,22.99
Premier Sedan,IGNOU Road,Jama Masjid,20.19
Premier Sedan,Vinobapuri,Raj Nagar Extension,46.78
Bike,Rajiv Chowk,Udyog Vihar Phase 4,26.99
Uber XL,Tis Hazari,Punjabi Bagh,48.45
Bike,Sarai Kale Khan,Sadar Bazar Gurgaon,7.06
Go Sedan,Udyog Vihar,Model Town,11.81
Go Mini,Rajouri Garden,New Delhi Railway Station,37.3
Go Sedan,Ashram,Rithala,null
Uber XL,Dwarka Sector 21,Sultanpur,24.85
Go Mini,IGNOU Road,Sadar Bazar Gurgaon,19.21
Go Mini,Sarai Kale Khan,Hauz Khas,8.87
Premier Sedan,Sultanpur,Green Park,9.38
Auto,Dwarka Sector 21,Central Secretariat,41.72
Go Mini,Chirag Delhi,IGNOU Road,null
Go Mini,Pitampura,Welcome,18.6
Go Mini,Basai Dhankot,South Extension,null
Bike,Vishwavidyalaya,New Colony,43.28
Premier Sedan,IGNOU Road,New Delhi Railway Station,34.29
Auto,Paschim Vihar,Tagore Garden,49.23
Go Sedan,Udyog Bhawan,Greater Noida,null
Go Sedan,Rohini West,Preet Vihar,17.69
Auto,Munirka,Jhilmil,11.8
Go Mini,Hero Honda Chowk,Vishwavidyalaya,12.04
Go Mini,Barakhamba Road,Tilak Nagar,25.19
Go Mini,Ghaziabad,Mehrauli,null
Bike,Delhi Gate,Barakhamba Road,null
Bike,Saket,Badarpur,18.74
Auto,Ashok Vihar,IGI Airport,16.4
Uber XL,Gurgaon Sector 29,Paschim Vihar,15.15
Auto,Sarojini Nagar,Ashram,10.99
Go Mini,Rajiv Nagar,Rohini West,19.28
Go Sedan,Indraprastha,Jor Bagh,20.59
Auto,Khandsa,Laxmi Nagar,48.91
Bike,Pulbangash,Vishwavidyalaya,23.58
Bike,Tilak Nagar,Ashok Vihar,24.88
Premier Sedan,Hauz Rani,Ashram,2.45
Auto,Delhi Gate,Botanical Garden,null
eBike,Green Park,Mansarovar Park,46.5
Go Mini,IIT Delhi,Tilak Nagar,14.58
Auto,Panchsheel Park,Sadar Bazar Gurgaon,4.51
Go Mini,Mundka,Moti Nagar,null
Bike,Subhash Nagar,Udyog Vihar Phase 4,10.12
Go Sedan,Akshardham,Rajouri Garden,25.13
Go Mini,Sikanderpur,Pulbangash,34.21
Auto,INA Market,Dilshad Garden,49.15
Go Mini,Rithala,Ramesh Nagar,null
Auto,Jahangirpuri,Kadarpur,21.4
Go Mini,Kalkaji,Paschim Vihar,null
Go Mini,Pragati Maidan,Patel Chowk,null
Bike,Gurgaon Sector 29,Kashmere Gate ISBT,45.76
Uber XL,Basai Dhankot,Badshahpur,13.95
Auto,Sikanderpur,Shastri Park,null
Uber XL,Hero Honda Chowk,Saidulajab,5.12
Go Sedan,Sarai Kale Khan,Sadar Bazar Gurgaon,4.41
Auto,Badarpur,Gurgaon Railway Station,null
Auto,Old Gurgaon,Dwarka Sector 21,null
Uber XL,Palam Vihar,Sadar Bazar Gurgaon,3.34
Auto,Faridabad Sector 15,Akshardham,8.66
Go Mini,Huda City Centre,Shahdara,9.99
Go Sedan,Civil Lines Gurgaon,Meerut,47.87
Auto,Laxmi Nagar,Sarai Kale Khan,null
Bike,Peeragarhi,Botanical Garden,37.27
Premier Sedan,Gurgaon Sector 29,Mundka,5.71
Auto,Vishwavidyalaya,Gwal Pahari,17.13
Premier Sedan,Mehrauli,Laxmi Nagar,35.87
Premier Sedan,Kirti Nagar,Hauz Khas,23.39
Bike,ITO,Lajpat Nagar,null
Go Sedan,Bahadurgarh,IGI Airport,23.47
Premier Sedan,Delhi Gate,Madipur,43.82
Bike,DLF Phase 3,Ghaziabad,46.97
Auto,Vasant Kunj,Mayur Vihar,5.62
Go Sedan,Tis Hazari,DLF Phase 3,null
Auto,Azadpur,New Delhi Railway Station,41.8
Bike,Udyog Vihar Phase 4,Rohini East,23.06
Premier Sedan,Udyog Vihar Phase 4,Vasant Kunj,14.18
Premier Sedan,Nirman Vihar,Mehrauli,19.09
Premier Sedan,Pataudi Chowk,IFFCO Chowk,null
Bike,Basai Dhankot,Noida Extension,35.84
Go Sedan,Inderlok,AIIMS,null
Bike,IMT Manesar,Jama Masjid,null
Bike,Sikanderpur,Sultanpur,18.2
Go Mini,Sultanpur,Anand Vihar,null
Go Sedan,Kashmere Gate,Huda City Centre,5.93
Go Sedan,Kadarpur,Gurgaon Sector 29,null
Go Sedan,Hero Honda Chowk,Shastri Park,40.8
Auto,AIIMS,Jama Masjid,28.28
Bike,Barakhamba Road,IGI Airport,27.55
Go Sedan,New Delhi Railway Station,Moti Nagar,null
Premier Sedan,Mandi House,Preet Vihar,49.42
Auto,Kashmere Gate ISBT,Palam Vihar,null
Auto,Akshardham,Vishwavidyalaya,2.86
Bike,Paschim Vihar,Badshahpur,47.63
Go Sedan,Khandsa,Shastri Park,38.98
Auto,Greater Kailash,Greater Noida,19.16
Premier Sedan,Punjabi Bagh,DLF Phase 3,33.2
Auto,Lajpat Nagar,Chhatarpur,18.45
Auto,Kaushambi,Ashram,23.75
Premier Sedan,Dilshad Garden,Anand Vihar ISBT,4.39
Auto,Mayur Vihar,Dilshad Garden,null
Auto,Chanakyapuri,Tilak Nagar,9.72
Premier Sedan,Model Town,Yamuna Bank,26.28
Bike,Shahdara,DLF Phase 3,null
eBike,GTB Nagar,Sohna Road,9.73
Bike,New Delhi Railway Station,Preet Vihar,null
Bike,Uttam Nagar,Okhla,32.82
Go Mini,Mayur Vihar,Ambience Mall,14.51
Bike,Paschim Vihar,Khandsa,28.64
eBike,Jahangirpuri,Vidhan Sabha,null
Go Mini,Yamuna Bank,Dwarka Mor,32.91
Premier Sedan,Sultanpur,Rajiv Nagar,null
Go Sedan,Ambience Mall,Noida Sector 18,30.55
Go Mini,Satguru Ram Singh Marg,Khandsa,null
Auto,Huda City Centre,Jhilmil,4.6
Go Sedan,Govindpuri,Nirman Vihar,null
Premier Sedan,Bahadurgarh,Munirka,11.45
Premier Sedan,Sarai Kale Khan,Lok Kalyan Marg,null
Go Mini,Okhla,Gurgaon Sector 29,null
Auto,Vasant Kunj,New Colony,null
Bike,Gwal Pahari,Ghaziabad,null
Premier Sedan,Patel Chowk,Vasant Kunj,29.61
Auto,Faridabad Sector 15,Botanical Garden,null
Premier Sedan,Subhash Chowk,New Colony,16.33
Uber XL,Vishwavidyalaya,Anand Vihar ISBT,48.88
Go Mini,Arjangarh,Dilshad Garden,null
Go Mini,RK Puram,Jasola,31.72
Bike,Okhla,Paharganj,44.72
Auto,Rohini West,Vaishali,42.28
Go Mini,New Colony,Laxmi Nagar,31.27
Auto,Udyog Vihar,Kashmere Gate,14.39
Premier Sedan,DLF City Court,Bhiwadi,12.86
Go Mini,Ashok Park Main,Tis Hazari,null
Premier Sedan,Raj Nagar Extension,Udyog Bhawan,null
eBike,Mundka,ITO,2.88
Auto,IIT Delhi,New Colony,20.87
Auto,Pragati Maidan,Arjangarh,21.46
eBike,Udyog Vihar,Faridabad Sector 15,43.3
Auto,Rajouri Garden,Kashmere Gate,39.67
Premier Sedan,Indirapuram,Hero Honda Chowk,null
Bike,Shastri Park,Noida Sector 18,null
eBike,Greater Noida,Noida Sector 18,10.59
Auto,Old Gurgaon,Connaught Place,null
Go Sedan,Keshav Puram,Central Secretariat,null
Go Mini,Pitampura,Pragati Maidan,10.21
Bike,Rohini West,Jasola,null
Premier Sedan,Nirman Vihar,Jahangirpuri,null
Bike,Nehru Place,Cyber Hub,31.09
Go Mini,Satguru Ram Singh Marg,Lajpat Nagar,null
Bike,Narsinghpur,Nirman Vihar,42.55
Auto,Udyog Vihar,Jasola,26.96
Go Sedan,Chirag Delhi,Munirka,9.42
Premier Sedan,Hauz Khas,Sarojini Nagar,null
Bike,Ashram,Saket A Block,43.21
Go Sedan,Green Park,Welcome,42.27
Bike,New Colony,Mandi House,7.43
Bike,Sarojini Nagar,Vatika Chowk,18.93
Bike,Delhi Gate,Pulbangash,28.56
Bike,Karkarduma,Pitampura,null
Premier Sedan,Rohini East,Uttam Nagar,36.88
Go Mini,Udyog Bhawan,South Extension,48.33
Auto,Golf Course Road,Rohini West,14.5
Auto,Rohini,Noida Film City,20.02
Go Mini,Sadar Bazar Gurgaon,Indirapuram,null
Premier Sedan,Delhi Gate,Inderlok,null
Premier Sedan,Pragati Maidan,Aya Nagar,17.48
Premier Sedan,Laxmi Nagar,Pragati Maidan,39.32
Auto,IGI Airport,ITO,29.39
Bike,Sarojini Nagar,DLF City Court,37.31
Auto,DLF Phase 3,Udyog Bhawan,null
Auto,Noida Sector 62,Shastri Park,16.42
Premier Sedan,Hero Honda Chowk,Akshardham,49.52
Go Sedan,Khandsa,Satguru Ram Singh Marg,33.35
Auto,Ashram,Saket A Block,10.37
Go Sedan,Shastri Nagar,Gurgaon Sector 29,18
Premier Sedan,Bhikaji Cama Place,Adarsh Nagar,33.11
Auto,ITO,DLF City Court,20.86
Auto,Hero Honda Chowk,Qutub Minar,37.53
Bike,Netaji Subhash Place,Badarpur,2.96
Go Sedan,Uttam Nagar,Khan Market,30.71
Bike,Mandi House,Kirti Nagar,23.72
Bike,Rithala,Preet Vihar,34.76
Bike,Hero Honda Chowk,Sonipat,null
Bike,Inderlok,Okhla,null
Go Mini,Rohini West,Rajiv Chowk,null
Bike,Yamuna Bank,Rohini,21.35
Go Mini,Palam Vihar,Jama Masjid,12.63
Go Mini,Kaushambi,AIIMS,null
Auto,Manesar,Ashok Park Main,47.97
Go Sedan,Khandsa,Anand Vihar,null
Premier Sedan,Subhash Chowk,Adarsh Nagar,null
Go Sedan,ITO,Greater Kailash,22.66
Auto,Jama Masjid,Indirapuram,4.37
Auto,Kherki Daula Toll,Sikanderpur,27.89
Go Sedan,Gurgaon Sector 29,Basai Dhankot,null
Premier Sedan,Kanhaiya Nagar,Hauz Khas,43.03
Bike,ITO,Pulbangash,null
Go Mini,Vaishali,RK Puram,null
Bike,Nawada,Ghitorni,null
eBike,Vatika Chowk,Raj Nagar Extension,2.86
Auto,Patel Chowk,Kashmere Gate ISBT,33.94
Auto,Ashram,Subhash Chowk,47.63
Bike,Connaught Place,Delhi Gate,5.26
Auto,Ashok Vihar,Mayur Vihar,null
Auto,Lajpat Nagar,Tis Hazari,15.58
Auto,Samaypur Badli,Kherki Daula Toll,14.02
Go Mini,Sushant Lok,Delhi Gate,39.46
Premier Sedan,Gurgaon Railway Station,Sushant Lok,22.95
Auto,Nehru Place,Rohini,null
Premier Sedan,Chandni Chowk,Udyog Vihar,23.15
eBike,Ghitorni,Rohini,14.31
Go Mini,MG Road,Gurgaon Sector 56,null
Auto,Kirti Nagar,IIT Delhi,null
Auto,Kalkaji,Botanical Garden,49.12
Auto,Ashok Vihar,Moti Nagar,16.28
Go Sedan,Civil Lines Gurgaon,Dwarka Sector 21,37.34
Go Mini,Delhi Gate,Moti Nagar,null
eBike,Nawada,INA Market,16.36
Premier Sedan,Rajouri Garden,Narsinghpur,null
Go Mini,Preet Vihar,Pataudi Chowk,28.85
Auto,Punjabi Bagh,Badshahpur,null
Auto,Jhilmil,Mundka,null
Auto,Anand Vihar ISBT,Hero Honda Chowk,null
Premier Sedan,Saket,India Gate,null
Auto,Akshardham,Sohna Road,42.16
Go Mini,Sadar Bazar Gurgaon,Basai Dhankot,null
Go Sedan,Jahangirpuri,Shastri Park,49.88
Bike,Gurgaon Sector 29,Bhiwadi,49.5
eBike,Saket,Mandi House,12.1
Go Mini,Akshardham,Lal Quila,null
Bike,Munirka,Netaji Subhash Place,null
Go Mini,Tis Hazari,AIIMS,33.95
Uber XL,Kadarpur,Noida Sector 62,44.53
Bike,Bhiwadi,Lal Quila,34.04
Bike,Moolchand,Sarai Kale Khan,30.13
Auto,Jhilmil,Mansarovar Park,46.43
Auto,Jhilmil,Golf Course Road,null
Go Sedan,Gurgaon Railway Station,Huda City Centre,48.31
Auto,Sushant Lok,Noida Sector 62,14.68
Go Sedan,Aya Nagar,Udyog Vihar,10.43
Uber XL,Golf Course Road,Shastri Nagar,16.26
Go Mini,Kherki Daula Toll,Hero Honda Chowk,37.38
Go Sedan,Manesar,Delhi Gate,null
Premier Sedan,Chanakyapuri,Udyog Vihar,null
Bike,Rohini East,Tughlakabad,30.01
Go Mini,Dwarka Mor,Khandsa,null
eBike,Meerut,Noida Extension,null
Go Sedan,Gurgaon Sector 29,Badarpur,32.11
Go Sedan,Bhikaji Cama Place,Vasant Kunj,null
eBike,Rithala,Udyog Vihar Phase 4,null
Auto,Saidulajab,Anand Vihar ISBT,13.36
Bike,AIIMS,Akshardham,null
Auto,Ashok Vihar,Karkarduma,31.92
Auto,Janakpuri,MG Road,19.1
Bike,Bhiwadi,Vasant Kunj,null
Auto,Ghitorni Village,Kanhaiya Nagar,null
Bike,Badarpur,Saidulajab,19.52
Uber XL,Hauz Khas,Chhatarpur,33.39
Go Sedan,Indraprastha,Punjabi Bagh,27.43
Auto,Tis Hazari,Noida Film City,null
Go Sedan,Madipur,Kirti Nagar,28.85
eBike,Pataudi Chowk,Azadpur,31.82
Premier Sedan,Tilak Nagar,Badarpur,37.97
Go Mini,Udyog Bhawan,Ghitorni,9.71
Go Mini,Raj Nagar Extension,Ghitorni,26.02
Bike,Jasola,Udyog Vihar,44.37
Go Mini,Panipat,Tis Hazari,37.15
Auto,Badshahpur,Ashok Vihar,null
Auto,Arjangarh,Keshav Puram,null
Premier Sedan,Welcome,Jhilmil,null
Go Mini,Nirman Vihar,Mundka,null
Auto,IMT Manesar,Paschim Vihar,32.24
Go Sedan,DLF Phase 3,Jama Masjid,20.85
Go Sedan,Kaushambi,Sonipat,20.63
Bike,RK Puram,Ghaziabad,null
Go Sedan,Gwal Pahari,Ashram,20.1
Auto,Madipur,Delhi Gate,30.64
Auto,Tughlakabad,Subhash Chowk,24.18
Go Sedan,Lajpat Nagar,IFFCO Chowk,null
Auto,Golf Course Road,Vinobapuri,47.45
Auto,Nirman Vihar,Malviya Nagar,31.9
Auto,Jasola,DLF City Court,29.24
Bike,Qutub Minar,Rohini West,16.21
Go Sedan,Sikanderpur,Anand Vihar ISBT,9.1
Auto,Rohini,Malviya Nagar,47.87
Uber XL,Nirman Vihar,Kanhaiya Nagar,43.03
Go Mini,Nawada,Karkarduma,null
Go Sedan,Kirti Nagar,Pitampura,null
Premier Sedan,Preet Vihar,Rajiv Chowk,49.39
Premier Sedan,New Delhi Railway Station,Tilak Nagar,8.81
Go Sedan,Golf Course Road,Mayur Vihar,42.73
Go Mini,Old Gurgaon,Chirag Delhi,29.06
Go Mini,Kashmere Gate,Bhikaji Cama Place,22.94
Go Sedan,Gwal Pahari,Hauz Rani,null
Premier Sedan,Badshahpur,Tilak Nagar,48.72
Go Sedan,Lajpat Nagar,DLF City Court,null
Go Mini,Sikanderpur,Kanhaiya Nagar,18.69
Go Sedan,Cyber Hub,Mayur Vihar,8.8
Go Sedan,Peeragarhi,Janakpuri,9.44
Go Mini,Botanical Garden,Golf Course Road,35.4
Auto,Connaught Place,INA Market,29.89
Go Sedan,Badarpur,INA Market,null
Go Mini,Janakpuri,Noida Film City,24.39
Auto,Okhla,Shahdara,5.35
Go Mini,Tis Hazari,Kadarpur,28.81
Go Mini,Seelampur,Bahadurgarh,48.08
Auto,Vishwavidyalaya,Punjabi Bagh,21.08
Auto,Badarpur,Sushant Lok,null
Go Sedan,Panchsheel Park,Lajpat Nagar,39.51
Uber XL,Paschim Vihar,Gwal Pahari,null
Auto,Model Town,Sultanpur,39.96
Auto,Noida Sector 18,Chhatarpur,48.62
Go Sedan,Badshahpur,Ashok Vihar,43.57
Go Sedan,ITO,Moti Nagar,49.71
Bike,Jama Masjid,Dwarka Sector 21,22.69
Go Mini,Gurgaon Railway Station,Manesar,30.08
Go Sedan,Gurgaon Railway Station,Badarpur,14.69
Bike,RK Puram,Yamuna Bank,null
Go Sedan,Kadarpur,Noida Extension,15.14
Bike,Hauz Khas,Badshahpur,8.69
Bike,Lal Quila,Noida Sector 62,21.39
Bike,Kashmere Gate,Rajiv Chowk,23.01
Auto,Subhash Chowk,Vidhan Sabha,44.68
Go Sedan,Rithala,ITO,34.79
Premier Sedan,Golf Course Road,Badarpur,26.87
Go Sedan,Seelampur,Chandni Chowk,40.95
Auto,Rohini,Munirka,6.99
Go Sedan,South Extension,Khandsa,3.3
Auto,Botanical Garden,Kadarpur,6.2
Go Sedan,Preet Vihar,Shastri Park,14.14
eBike,Ghaziabad,Palam Vihar,null
Bike,Madipur,Botanical Garden,22.53
Auto,Central Secretariat,Anand Vihar ISBT,11.66
Auto,Shastri Park,Aya Nagar,5.67
eBike,Arjangarh,Chandni Chowk,7.46
Auto,Civil Lines Gurgaon,Saidulajab,38.9
Uber XL,Shastri Park,Welcome,null
Go Sedan,ITO,Jahangirpuri,43.94
Bike,Dilshad Garden,Kadarpur,12.67
Auto,Seelampur,Nirman Vihar,4.02
Premier Sedan,Paschim Vihar,Aya Nagar,28.45
Bike,Paharganj,Satguru Ram Singh Marg,null
Bike,Paschim Vihar,Chanakyapuri,25.71
Premier Sedan,RK Puram,Sarojini Nagar,null
Bike,Raj Nagar Extension,Pulbangash,19.52
Bike,Chanakyapuri,Karol Bagh,23.5
Go Sedan,RK Puram,Jasola,41
Go Sedan,Hauz Rani,Vatika Chowk,40.15
Go Mini,Peeragarhi,Sohna Road,30.67
Auto,Nawada,Arjangarh,null
Premier Sedan,Govindpuri,Ambience Mall,7.04
Go Sedan,Vaishali,Botanical Garden,28.63
Auto,Peeragarhi,Shivaji Park,null
Go Sedan,Sohna Road,Nehru Place,46.97
Premier Sedan,Sultanpur,Kirti Nagar,null
Go Sedan,Rajiv Nagar,Pataudi Chowk,null
eBike,Green Park,Anand Vihar ISBT,null
Go Mini,Chirag Delhi,Kaushambi,null
Go Sedan,Udyog Bhawan,Hauz Khas,42.04
Uber XL,Sikanderpur,Rohini West,27.07
Go Mini,Vasant Kunj,Manesar,46.77
Auto,Kherki Daula Toll,Kashmere Gate,22.32
eBike,Arjangarh,Saket,46.51
Auto,Shivaji Park,DLF Phase 3,null
Premier Sedan,Netaji Subhash Place,Inderlok,6.36
Auto,Uttam Nagar,Kalkaji,null
Go Sedan,Sultanpur,Ramesh Nagar,null
Auto,Noida Film City,Udyog Vihar,8.15
Premier Sedan,Badarpur,Karol Bagh,35.06
Go Sedan,Saket A Block,Kashmere Gate,31.36
Go Mini,Pitampura,Tagore Garden,29.21
Go Mini,Cyber Hub,Rajiv Chowk,43.82
Bike,Patel Chowk,Cyber Hub,26.95
Auto,Rohini West,Green Park,13.71
Auto,Anand Vihar ISBT,Kaushambi,30.28
Auto,Kaushambi,Lajpat Nagar,12.15
Auto,Dilshad Garden,Karkarduma,null
Go Mini,Huda City Centre,Narsinghpur,46
Uber XL,Mansarovar Park,Udyog Vihar,11.06
Bike,Yamuna Bank,Patel Chowk,null
Bike,Tilak Nagar,South Extension,null
Premier Sedan,Ardee City,Madipur,13.36
Go Mini,Rajiv Chowk,Ghitorni,37.87
Go Mini,Lajpat Nagar,Okhla,17.51
Premier Sedan,Noida Film City,Bhiwadi,18.37
Go Sedan,Keshav Puram,Saidulajab,43.76
Go Sedan,Ghitorni Village,Sarai Kale Khan,null
Go Mini,Meerut,Tis Hazari,33.94
Auto,MG Road,Tilak Nagar,null
Auto,Green Park,Model Town,32.15
Auto,Delhi Gate,Kalkaji,null
Bike,Udyog Bhawan,Rajouri Garden,3.17
Bike,New Colony,Akshardham,10.67
Bike,Vasant Kunj,Gurgaon Sector 56,3.76
Bike,Sikanderpur,RK Puram,30.5
Go Sedan,Vaishali,Botanical Garden,32.96
Uber XL,Laxmi Nagar,Shastri Nagar,null
Go Mini,Indirapuram,Sohna Road,48.38
Auto,Jama Masjid,Arjangarh,null
Auto,Lok Kalyan Marg,Hauz Khas,null
eBike,Chandni Chowk,Sonipat,15.11
Auto,Lajpat Nagar,Sadar Bazar Gurgaon,26.99
Go Mini,Bhikaji Cama Place,Mandi House,null
Go Sedan,Subhash Chowk,New Colony,null
Auto,Central Secretariat,Tilak Nagar,45.39
Premier Sedan,Sohna Road,Paschim Vihar,38.66
Go Mini,Panchsheel Park,Laxmi Nagar,32.09
Auto,Kashmere Gate ISBT,Khandsa,null
Uber XL,Hauz Khas,Mansarovar Park,36.32
Premier Sedan,Seelampur,Pataudi Chowk,null
Bike,Keshav Puram,Gwal Pahari,null
Auto,Karkarduma,Jahangirpuri,49.26
Go Mini,Rohini,Vishwavidyalaya,32.04
eBike,Saidulajab,Ghaziabad,26.76
Go Mini,Hauz Rani,DLF City Court,17.35
Go Sedan,Tilak Nagar,Lajpat Nagar,14.75
Go Sedan,Tilak Nagar,Pragati Maidan,37
Auto,Jama Masjid,Vishwavidyalaya,45.88
Go Mini,Rajouri Garden,Welcome,32.79
Bike,Kirti Nagar,Sadar Bazar Gurgaon,13.67
Bike,Sultanpur,Maidan Garhi,null
Bike,Saket,RK Puram,null
Go Mini,Nawada,Lal Quila,11.24
eBike,Noida Sector 62,Rajouri Garden,null
Go Sedan,South Extension,Basai Dhankot,null
Go Sedan,Govindpuri,Ardee City,16.18
Bike,Ambience Mall,Lok Kalyan Marg,20.16
Bike,New Delhi Railway Station,Subhash Nagar,null
Auto,Vidhan Sabha,Rohini West,43.26
Go Sedan,DLF City Court,Noida Sector 62,null
Auto,Saket A Block,Sarai Kale Khan,19.43
Bike,Tughlakabad,Munirka,25.54
Auto,Vinobapuri,DLF Phase 3,22.09
Go Mini,Gurgaon Sector 56,RK Puram,7.14
eBike,Dwarka Mor,Subhash Chowk,15.09
Go Mini,Kherki Daula Toll,Hauz Rani,28.93
Go Mini,Laxmi Nagar,Kashmere Gate ISBT,null
Uber XL,Pataudi Chowk,Yamuna Bank,22.99
Premier Sedan,Jor Bagh,Anand Vihar,null
Auto,Subhash Chowk,GTB Nagar,null
Premier Sedan,Narsinghpur,RK Puram,null
Premier Sedan,Mundka,Karkarduma,43.52
Bike,Kaushambi,Noida Sector 18,17.83
Auto,Patel Chowk,Khandsa,5.13
Bike,AIIMS,Sohna Road,null
eBike,Rajouri Garden,Jama Masjid,40.56
Auto,Kherki Daula Toll,Hero Honda Chowk,null
Auto,MG Road,Kanhaiya Nagar,49.38
Go Mini,Kaushambi,New Delhi Railway Station,41.28
Go Sedan,Tughlakabad,Ardee City,12.63
Bike,Yamuna Bank,Ramesh Nagar,11.19
Go Sedan,Faridabad Sector 15,Seelampur,19.18
Go Sedan,Keshav Puram,Huda City Centre,38.49
Auto,Vidhan Sabha,Old Gurgaon,null
Go Mini,Nehru Place,Lajpat Nagar,null
Go Mini,Chirag Delhi,Mehrauli,null
Uber XL,Chandni Chowk,India Gate,5.17
Auto,Anand Vihar,Anand Vihar ISBT,37.19
Go Mini,Indirapuram,Rohini West,4.8
Go Sedan,DLF Phase 3,Cyber Hub,null
Bike,India Gate,Sohna Road,null
Go Mini,Dwarka Mor,Kashmere Gate,null
Auto,Bahadurgarh,Central Secretariat,8.93
Go Sedan,Pulbangash,Panipat,7.14
Bike,IGI Airport,Vatika Chowk,null
Auto,Chanakyapuri,Udyog Vihar Phase 4,22
Auto,DLF City Court,Sohna Road,null
Go Mini,South Extension,Badarpur,null
Auto,Model Town,Samaypur Badli,17.94
Bike,Khandsa,Old Gurgaon,null
Auto,Sikanderpur,Chhatarpur,null
Auto,Rajouri Garden,Jahangirpuri,17.96
Go Sedan,Gurgaon Railway Station,Jama Masjid,10.67
Go Mini,Samaypur Badli,Satguru Ram Singh Marg,null
Bike,Narsinghpur,Sarojini Nagar,45.94
Auto,Badshahpur,Malviya Nagar,null
Bike,Vidhan Sabha,AIIMS,9.9
Go Sedan,Vinobapuri,Shivaji Park,25.81
Go Mini,Adarsh Nagar,Noida Sector 62,37.65
eBike,Karol Bagh,Sarojini Nagar,9.29
Go Sedan,Bahadurgarh,Sultanpur,null
Bike,Vishwavidyalaya,Ramesh Nagar,8.14
Go Sedan,AIIMS,Lal Quila,15.88
Auto,Qutub Minar,Mehrauli,null
Go Mini,Pitampura,Chanakyapuri,14.11
Bike,Subhash Nagar,Yamuna Bank,27.6
Go Mini,Shastri Park,Noida Film City,null
Auto,Connaught Place,Mayur Vihar,null
Premier Sedan,Khan Market,Manesar,2.97
Go Mini,Mansarovar Park,Govindpuri,22.64
